GEOID,county,v001_rawvalue,v002_rawvalue,v003_rawvalue,v004_rawvalue,v005_rawvalue,v009_rawvalue,v011_rawvalue,v014_rawvalue,v015_rawvalue,v021_rawvalue,v023_rawvalue,v024_rawvalue,v036_rawvalue,v037_rawvalue,v039_rawvalue,v042_rawvalue,v044_rawvalue,v045_rawvalue,v049_rawvalue,v050_rawvalue,v051_rawvalue,v052_rawvalue,v053_rawvalue,v054_rawvalue,v055_rawvalue,v056_rawvalue,v057_rawvalue,v058_rawvalue,v059_rawvalue,v060_rawvalue,v061_rawvalue,v062_rawvalue,v063_rawvalue,v065_rawvalue,v067_rawvalue,v069_rawvalue,v070_rawvalue,v080_rawvalue,v081_rawvalue,v082_rawvalue,v083_rawvalue,v085_rawvalue,v088_rawvalue,v122_rawvalue,v124_rawvalue,v125_rawvalue,v126_rawvalue,v127_rawvalue,v128_rawvalue,v129_rawvalue,v131_rawvalue,v132_rawvalue,v133_rawvalue,v134_rawvalue,v135_rawvalue,v136_rawvalue,v137_rawvalue,v138_rawvalue,v139_rawvalue,v140_rawvalue,v141_rawvalue,v143_rawvalue,v144_rawvalue,v145_rawvalue,v147_rawvalue,v148_rawvalue,v149_rawvalue,v151_rawvalue,v153_rawvalue,v154_rawvalue,v155_rawvalue,v156_rawvalue,v158_rawvalue,v159_rawvalue,v160_rawvalue,v161_rawvalue,v166_rawvalue,v167_rawvalue,v168_rawvalue,v169_rawvalue,v170_rawvalue,v171_rawvalue,v172_rawvalue,v177_rawvalue,v178_rawvalue,n_schools,avg_tt_SERV10,avg_tt_SERV22,avg_tt_SERV50,avg_tt_SERV52,avg_tt_SERV56,avg_tt_SERV57,avg_tt_SERV58,avg_tt_SERV59,avg_tt_SERV80
51119,Middlesex County,13188.5380386534,16.1,12.3366927958193,37.1023096187737,2334,16.9,36.5,20.3951561504142,NA,87.5,2.74694261523988,20,3.7683094524,8.75796178343949,22.7382162538119,5.1316587786,4.33780212081648,259.7,15.020138137,51,10943,16.0376496390386,33.0896463492643,15.2243443297084,0.58484876176551,3.25322123732066,50.3335465594444,100,0.55013994788147,9.7,177.5,82.2443571232751,68881,48.5024958402662,72.3461798512508,55.5145118733509,23,0.0639678333181,0.57571049986292,31.504424778761,0.2705239050782,11.3675213675213,45.6913095129306,8.39520274129069,1,7.1,77.7117792195924,540.497809698737,NA,NA,63.9678333181029,39.2564705882353,9.2,25,123.641813413263,13.9559286463798,43.1,NA,7.9,15.7684815879788,27.9796243589119,35,11,16.8,74.0062047979158,22.4803297115024,NA,0.79174388027038,84.3445057276198,9.82162045991833,49,1.5258622002434,20,2.787600015,NA,30.6651068096171,77.2380144251166,0.0075924673882,89.3939393939394,-4504.705,NA,23.5478578998562,10.4166666666666,76.3646595385481,46.1,3,20.244427613728448,50.61861712928491,91.21258676111465,54.434237887841796,41.2244672766169,NA,173.41830613180105,NA,90.0417323893646
51131,Northampton County,12784.6249364739,18.6,13.1115775875989,107.57136946628,1620,17.2,37.3,26.431718061674,NA,87.5,3.5043352601156,30.4,3.9689450087,9.81912144702842,25.1970771390518,5.0557584433,5.67907346004763,579.2,13.233213232,52,11900,18.1848739495798,29.4873949579831,30.1932773109243,0.47899159663865,9.70588235294117,52.3277310924369,100,1.64868364264134,11.5,380.2,117.647058823529,52783,88.074074074074,69.8969072164948,56.5404475043029,25.9,0.21848739495798,1.05882352941176,31.1800172265288,3.8784003423e-4,11.9101660494564,142.857142857142,8.55148342059337,0,6.6,56.8403361344537,566.276386031725,NA,NA,134.453781512605,46.5640775118059,8.4,36.8421052631578,104.997544412267,10.5825242718446,30.1,31.0138716589601,11.5,11.5846090194455,15.1678884437808,37.3,11.7,16.9,73.9078094027379,16.9350878084302,NA,0.86550946885776,64.315119760479,9.68459361099878,50,23.0039818569895,29,3.095246182,NA,15.2869453428834,81.5119760479041,0.00323986671097,86.8848857644991,-14058.12,NA,34.2742928594433,11.705685618729,72.9360780065005,43.9,6,33.30101644712376,58.48406156431106,68.04037991736062,93.51072330702385,124.14248950428257,NA,243.43715192536044,NA,67.77753268103116
51117,Mecklenburg County,11868.3071867344,19,11.9699812382739,56.2020629463105,3023,19.5,40.2,22.8770131771595,7.91349157213147,88,3.58587014572365,32.9,4.0020644046,9.5581171950048,27.9299702545816,4.9910201581,5.59544713737448,509.1,13.407355905,45,30508,18.2280057689786,27.1502556706437,32.5783401075127,0.42283991084305,3.30077356758883,50.9899042874,83.2580230218674,0.46421395413289,12.2,269.9,111.446178051658,52092,73.8816337871631,82.8892691273527,59.53171966461,27.5,0.0786678903894,1.10135046545168,37.3922413793103,9.54730400066509,10.3125584877409,29.5004588960272,5.53992261695392,0,8,60.8168349285433,526.101106078958,84.4356881508584,11.031175059952,127.835321882784,55.7142385962598,7.5,18.3673469387755,117.762512266928,12.6515763945028,35.9,30.5964114780252,11.3,15.8688177730759,25.4705856054311,38.2,12.3,17.7,73.9021704547304,22.2440300948642,NA,0.72667714884696,70.8752013500038,12.2699386503067,49,8.1253500370462,28.076923076923,3.228096176,NA,22.0408045967137,70.3075861010968,0.02477409771036,86.4812362030905,-4164.504,NA,22.7539737387698,7.06940874035989,66.2456570611077,49.6,6,17.549251297310608,57.83000313311321,144.89080526898056,100.54523025845658,97.7580937555386,292.06603381929165,216.03731496339844,522.1855217291375,115.98297273752604
51133,Northumberland County,9179.72222084918,16.5,11.5733607259031,83.1324299609277,1895,16.4,38.5,26.4452644526445,NA,92.5,3.9756446991404,23.1,3.6858257032,11.2605042016806,27.03687594776,5.0126065018,5.56088431395484,432.3,12.913755478,47,12302,13.7457324012355,37.1646886685091,23.1507072020809,0.28450658429523,4.25947000487725,50.4145667371159,100,0.10317255610007,10.3,194.4,24.3862786538774,67077,85.3513971210838,72.3247232472324,56.2356979405034,22.8,0.14631767192326,0.69907332141115,39.064261555806,2.09742208122622,10.7071779222502,130.060152820679,7.97991071428571,0,6.9,69.7935295073971,432.09857487446,NA,NA,48.7725573077548,38.2718134977616,8.7,41.6666666666666,110.533696279798,13.3685136323658,49.5,35.9185477854833,9.1,19.1204588910133,18.2629214684884,34.7,11,16.5,76.9832322230063,16.4975666089251,NA,0.8630030447445,88.84808658678,13.8389206868356,40,2.77020605263485,NA,3.447459987,NA,17.2187825747835,79.7062234248164,0.0048818437529,89.1993551853842,-5457.68,NA,24.1811649298567,13.2450331125827,75.7267441860465,48.4,3,30.20677831760161,95.79240179653097,131.87981323283296,95.1014643595601,86.39825194386299,NA,160.6271271859562,NA,130.70891742325176
51051,Dickenson County,13898.3965533363,21.7,10.9563602599814,21.7596286356712,4260,24.2,38.2,25.611620795107,NA,87.5,4.39077936333699,27.9,4.7960706679,7.89163722025913,24.613324669443,6.2029414783,5.65055414608091,217.6,14.568974287,34,13725,19.1256830601092,24.5610200364298,0.56830601092896,0.27686703096539,1.10018214936247,48.3205828779599,100,0.0297619047619,11.8,41.8,72.8597449908925,43271,83.1043256997455,85.013501350135,53.6397285626156,29.6,0,0.20400728597449,14.506059493206,NA,9.31566455696202,7.28597449908925,4.62555066079295,1,7.1,97.2167577413479,669.476214623585,NA,NA,153.005464480874,57.5969980175588,NA,50,135.687108325872,14.3231441048034,43.7,49.7830879738283,17.7,2.17596286356712,NA,38.7,14.6,20.4,72.1598619001166,33.5720680393912,25.5067567567567,0.7791701475912,77.2325455529496,10.8904933814681,42,0.67007094166996,35.3846153846153,3.258906427,NA,33.5668879665721,75.7351614649107,NA,81.3662202524328,-2338.341,NA,28.8345543204455,4.60829493087557,62.4263135412217,47.6,6,16.882449969348663,91.1644472514399,178.18260181588806,262.6858932368411,350.0420289565367,244.3807748436191,424.24517117484464,269.5287486588336,91.04627341838271
51107,Loudoun County,3243.25185156231,10.5,6.953035892749,76.0070347434002,2340,8.6,29.6,4.44005920078934,0.88326176557667,96,2.38934856277845,3.8,2.7035982149,6.71464884471482,3.63903847417589,4.1512589546,NA,201.1,18.425542686,36,432085,26.3589340060404,10.8166217295208,7.60313364268604,0.47166645451705,13.9553560063413,49.8022379855815,11.9465316099667,3.72779756411918,8.2,128.7,196.489116724718,167605,20.1565033126109,63.9197480420695,85.0883029164806,16.1,0.10437761088674,22.6279551477139,11.7725110209069,0.99395364742396,5.84191994357987,73.5966302926507,3.46752576051939,0,7.2,52.1332608167374,178.007477389624,24.3126688933351,3.46361793196666,97.4345325572514,92.4835910385572,9.9,47.6923076923077,29.9684268122681,10.3307811262399,48.7,8.86136240282171,4.1,6.99264719639282,29.9770435319799,31.4,7.3,12.4,84.1475314722918,4.64027253867377,2.21438131159508,0.67271303458415,77.4274805303539,9.03347842598814,53,65.203346412767,6.72727272727272,3.335128982,NA,9.40190056130889,96.4063255599102,0.11801919556007,94.3590044396215,7368.48,NA,23.8208883983174,7.40078655702538,88.6168389955686,79.8,101,13.8848661960568,39.798367595529,62.661582958438395,135.1896162773792,93.40988637547393,NA,69.6033573230869,95.13698129607724,NA
51181,Surry County,8784.97912773331,19.3,9.97618417570786,15.3139356814701,3468,18.8,41.9,16.3636363636363,NA,NA,2.96398891966759,19.2,4.0369674998,9.56719817767653,30.6990614858345,5.3793085846,5.22314937210839,413.5,14.089959292,52,6527,16.7917879577141,25.4941014248506,38.3790409070016,0.53623410448904,3.04887390838057,49.7625248965834,100,0.22497187851518,12.4,243.2,61.2838976558909,65339,67.9389312977099,81.1990876507005,58.2781456953642,26,0.04596292324191,0.56687605331699,31.9783197831978,7.82767504465569,9.01198842496899,NA,5.81915846016114,0,7.2,55.2780756856136,420.141326975069,NA,NA,NA,9.9832342630697,8.3,0,89.6417421408921,11.4490161001788,65.9,NA,8.5,15.3139356814701,5.37074050898222,38.8,12.1,17.5,76.8242196235345,NA,NA,0.81064629139387,77.9234972677595,10.3132161955691,45,0.82319516236081,NA,3.283303353,NA,NA,74.1347905282331,0.00249218268258,87.6232642382773,-4726.307,NA,24.8243774774636,3.28947368421052,85.8157389635316,61.5,3,39.724913314643466,44.908153236032106,63.495218708597356,73.52372546025781,68.65586351010644,NA,182.824246647201,NA,62.32445230678156
51101,King William County,9682.94033717754,14.5,8.09280233832663,33.0196466897804,2528,16.2,38.9,12.3598735268755,NA,89.9897959183673,2.65929711127333,9.4,3.516366861,6.67120490129339,27.6822414226994,5.5005423877,3.77613860302167,302.7,17.967595486,50,18492,22.2961280553753,17.0992861778066,14.4548994159636,1.54120700843608,3.13649145576465,50.4596582305862,100,0.41142448273805,9.5,91.6,59.4851827817434,82715,29.7925608011444,81.1796832332059,64.4944793245291,21.8,0.01622323166774,1.41682889898334,20.9388056033423,2.85961336702358,7.07211698238617,32.4464633354964,4.45785929881588,0,7.7,77.1414665801427,450.690786357252,63.1566859964402,NA,81.116158338741,59.5227400336889,9.3,40,88.907363146166,7.0367474589523,66.6,39.6525679758308,5.9,4.95294700346706,20.3703897862673,37.6,10.3,16.5,75.3135077995093,11.5464107982033,NA,0.83274186594142,86.1018424488611,8.38277803134033,51,11.2826456416995,NA,3.442348274,NA,14.3325198691259,74.9455969824459,0.01687140308273,93.4907414894477,2153.9195,NA,19.6095025086139,7.73694390715667,82.3389570552147,66.4,7,24.578630623684273,46.00401418122268,93.13643558588056,55.637961278852124,34.130161940966566,NA,141.54336353782512,NA,91.9656220224168
51085,Hanover County,6728.87734089841,12.5,6.73627484001347,72.5786941211257,2408,12.8,31.9,5.67286479672234,2.27147613881124,94,2.44632054776307,5.9,3.0447867086,6.61168981481481,13.0943918590295,4.6302802145,3.77131927986362,249.1,18.779222678,49,112938,21.2709628291629,19.3982539092245,9.2847402999876,0.48964918805008,3.62145602011723,50.4489188758433,37.0070649851335,0.4718506820906,8.1,132.1,211.620535160884,103639,23.7027812370278,77.6407770400815,76.2973575294492,16.9,0.12042005348067,2.34022206874568,16.6262034323984,3.97253590680882,5.93733926694545,71.720767146576,3.92241889068474,0,8.4,82.3460659831057,329.991358580326,48.2584381298435,4.85436893203883,115.107404062405,86.3346638903791,9.3,26.7441860465116,74.5201953427651,8.89738687061822,37.8,25.0281566762607,5.5,12.2756556723385,28.8019037668731,32.2,9.1,15.1,78.3256301854621,13.1288681621248,NA,0.79598671313439,83.0292632240292,8.35809168364966,54,41.8802926080933,19.9137931034482,3.416530083,NA,17.4125104570577,90.1263803977478,0.03509791857825,94.4014866989824,2027.426,NA,22.2715387064715,8.41278743690409,87.1553100061387,78.4,25,12.543304648864149,47.39611514228122,101.93579537374535,64.42937897687308,22.17370933989396,NA,122.48616347630504,165.58277832790682,96.71443534533216
51003,Albemarle County,4986.10080179646,11.5,8.67801337517036,139.164134407891,1790,11.1,28.6,4.39247171073683,2.09831112183581,NA,2.65898934341698,8.5,3.057793021,6.36027903159622,8.39324448734325,4.778499479,4.50091935907538,276.6,18.479684614,53,114534,19.0912742067857,20.8339881607208,9.35791991897602,0.39464263886706,6.05933609233939,51.9120959715019,40.3745718225899,1.66593353112394,8.1,209.7,211.290970366878,94727,31.1948614765516,68.2659088376239,80.7498823784879,16.6,0.08905652470008,5.87860373338921,22.0729366602687,3.526663792183,7.80018964891537,103.89927881677,5.46161072679135,0,6.4,76.0088707283426,233.877545472697,42.8851681189835,3.83089341907237,96.0413501667627,79.037323724365,9.1,23.9436619718309,65.4620438341119,12.907031618688,24.5,11.6935568501755,6.8,10.3051922314704,42.649544303201,30.3,8.5,14,81.9053583023456,10.1829845964174,1.90615835777126,0.83872864818626,67.2344484567691,12.4447872116665,61,56.3108788663893,7.7,3.209291346,NA,14.3856524647523,90.0547341645658,0.08764997352101,93.826037225746,NA,NA,28.3182197261604,9.7972972972973,79.3532155130093,70,27,17.256953494710075,43.59905709692511,155.71978480329616,43.147215271959894,77.14231124347218,364.90685122747817,162.82246771596311,432.1307425978246,184.59506975660045
