arc,Name,Street Address,City/County,School District,On-site SBHC or not validated by Dylan and Dr. Shih,Operated By,Delivery Models,School-Based Health Services,Services Offered,Primary Care,Behavioral Health,Provider Team,Provider Information,Source: School-Based Health Alliance,Sources ,HRSA 2025 Data Note
VCU_40,Maury River Middle School Health Center,"600 Waddell St, Lexington, VA 24450",Lexington,Rockbridge County Public Schools,1,Rockbridge Area Health Center (RAHC),Traditional,"Medical, Behavioral, Dental","Primary care services (e.g., physical exams, vaccinations, routine lab tests, care for chronic conditions, care for pediatric & adolescent health concerns); Behavioral health services (e.g., behavioral/mental health assessment, screening and intervention, individual and small group counseling, drug or alcohol use treatment); Oral health services (e.g., routine dental exams, X-rays, prophylaxis (teeth cleaning), fluoride treatment, sealants -- (Provided at all local public-school sites biannually))",Yes,Yes,Supervisee in Social Work,"- Raegan Paxton, MSW",N,HRSA Health Center,New
VCU_41,Rockbridge County High School Health Center,"143 Greenhouse Rd, Lexington, VA 24450",Lexington,Rockbridge County Public Schools,1,Rockbridge Area Health Center (RAHC),Traditional,"Medical, Behavioral, Dental","Primary care services (e.g., physical exams, vaccinations, routine lab tests, care for chronic conditions, care for pediatric & adolescent health concerns); Behavioral health services (e.g., behavioral/mental health assessment, screening and intervention, individual and small group counseling, drug or alcohol use treatment); Oral health services (e.g., routine dental exams, X-rays, prophylaxis (teeth cleaning), fluoride treatment, sealants -- (Provided at all local public-school sites biannually))",Yes,Yes,"- Physician assistant
- Resident in counseling","- Kerry Stillwell, PA-C
- Autumn Kelland, MA",N,HRSA Health Center,New
VCU_42,Nelson County Middle School SBHC,"6925 Thomas Nelson Hwy, Lovingston, VA 22949",Lovingston,Nelson County Public Schools,1,"Blue Ridge Medical Center, Inc.",Traditional,"Medical, Dental, Mental",,,,,,N,HRSA Health Center,New
VCU_43,Lunenburg Middle School,"583 Tomlinson Rd, Victoria, VA 23974",Victoria,Lunenburg County Public Schools,99,"Southern Dominion Health System, Inc",99,,,,,,,N,HRSA Health Center,New
VCU_44,Carroll County School Based Clinic,"100 Cavs Lane, Hillsville, VA 24343",Hillsville,Carroll County Schools,1,Tri-Area Community Health,"Traditional, Telehealth","Medical, Behavioral Health","Medical services include physical exams for school, sports & camp, treatment for acute & chronic illness & injuries, vision/hearing screenings and follow-up, referrals for specialty services, basic laboratory services & tests",Yes,No,"- Nurse practitioner
- Licensed professional counselor
- Licensed practical nurse
- Behavior health educator","- Jacquelyn Hinkley, FNP-C
- Donna Gibson, FNP-C
- Hailie Cushman, LPC, M.Ed.
- Susan Huff, LPN
- Robin S. Graham",Y,HRSA Health Center,New
VCU_45,John S. Battle High School,"21264 Battle Hill Dr, Bristol, VA 24202",Bristol,Washington County Public Schools,1,Southwest Virginia Community Health Systems,Traditional,Medical,"Diagnose and treat a variety of acute issues such as Strep, Flu, Mono, COVID-19, skin infections, sinusitis, etc.",Yes,No,Family nurse practitioner,"- Kelsie Strong, MSN, FNP-BC, FNP-C",N,HRSA Health Center,New
VCU_46,Kenbridge Elementary School,"215 Nottoway Falls Rd, Kenbridge, VA 23944",Kenbridge,Lunenburg County Public Schools,99,"Southern Dominion Health System, Inc",99,,,,,- Registered Nurse,- Lynn Redman,N,HRSA Health Center,New
VCU_47,High Point Elementary School,"14091 Sinking Creek Rd, Bristol, VA 24202",Bristol,Washington County Public Schools,1,Southwest Virginia Community Health Systems,99,,,,,,,N,HRSA Health Center,New
VCU_48,Chilhowie High School,"1160 E Lee Hwy, Chilhowie, VA 24319",Chilhowie,Smyth County Public Schools,1,Southwest Virginia Community Health Systems,Traditional,Medical,"Diagnose and treat a variety of acute issues such as Strep, Flu, Mono, COVID-19, skin infections, sinusitis, etc.",Yes,No,Family nurse practitioner,"- Kimberly Harding, MSN, APRN, FNP-BC",N,HRSA Health Center,New
VCU_49,Central High School,"131 K-V Rd, Victoria, VA 23974",Victoria,Lunenburg County Public Schools,99,"Southern Dominion Health System, Inc",99,,,,,,,N,HRSA Health Center,New
VCU_51,Victoria Elementary School,"1521 8th St, Victoria, VA 23974",Victoria,Lunenburg County Public Schools,99,SOUTHERN DOMINION HEALTH,99,,,,,,,,HRSA Health Center,
VCU_53,Lift Center - Fallon Park Elementary School,"502 19th St SE, Roanoke, VA 24013",Roanoke,Roanoke City Public Schools,1,Carilion Children’s,Traditional,"Medical, Dental, Mental","sick care, well checks, immunizations and school and sports physicals",Yes,Yes,"- Nurse Practioner
- Registered Nurse",,Y,School-Based Health Alliance,Not Included
VCU_54,Grayson County School Based Clinic,"110 Blue Devil Drive, Independence, VA 24248",Independence,Grayson County Schools,1,Tri-Area Community Health,"Traditional, Telehealth","Medical, Behavioral Health","Medical services include physical exams for school, sports & camp, treatment for acute & chronic illness & injuries, vision/hearing screenings and follow-up, referrals for specialty services, basic laboratory services & tests",Yes,No,"- Nurse practitioner
- Licensed Clinical Social worker
- Registered Nurse
- Behavior health educator","- Jane Sage, FNP
- Lisa Parks, RN
- Ally Lewis, BHE
- Daniel Brooks, LCSW",N,HRSA Health Center,New
VCU_27-2,"Alexandria City HS 
Teen Wellness Center
Minnie Howard Campus","3701 W Braddock Rd, Alexandria, VA 22302",Alexandria,Alexandria Public Schools,1,City of Alexandria,Traditional,Medical,"Medical services include immunizations, TB testing, HIV testing, treatment of colds, acne, and other minor illnesses, physical examinations, reproductive health services, behavior change counseling, mental health and substance use counseling",Yes,Yes,N/A,* No information on specific provider,Y,HRSA Health Center,
VCU_55,Virginia Primary School,"350 Spring Hill Terrace, Bristol, VA 24201",Bristol,Bristol Public Schools,1,Southwest Virginia Community Health Systems,99,,,,,,,N,HRSA Health Center,New
